id,dateTime,height,type
656,9/17/2021 16:26,0.54,low
657,9/17/2021 22:08,0.88,high
658,9/18/2021 5:24,0.25,low
659,9/18/2021 12:25,0.82,high
660,9/18/2021 17:37,0.55,low
661,9/18/2021 23:19,0.84,high
662,9/19/2021 6:34,0.27,low
663,9/19/2021 13:31,0.82,high
664,9/19/2021 19:15,0.52,low
665,9/20/2021 0:41,0.81,high
666,9/20/2021 7:51,0.28,low
667,9/20/2021 14:33,0.84,high
668,9/20/2021 20:53,0.46,low
669,9/21/2021 2:15,0.81,high
670,9/21/2021 9:06,0.28,low
671,9/21/2021 15:24,0.85,high
672,9/21/2021 21:54,0.39,low
673,9/22/2021 3:27,0.83,high
674,9/22/2021 10:06,0.29,low
675,9/22/2021 16:07,0.87,high
676,9/22/2021 22:41,0.33,low
677,9/23/2021 4:23,0.86,high
678,9/23/2021 10:53,0.32,low
679,9/23/2021 16:45,0.88,high
680,9/23/2021 23:20,0.3,low
681,9/24/2021 5:11,0.89,high
682,9/24/2021 11:34,0.35,low
683,9/24/2021 17:18,0.88,high
684,9/24/2021 23:53,0.28,low
685,9/25/2021 5:54,0.9,high
686,9/25/2021 12:08,0.38,low
687,9/25/2021 17:48,0.89,high
688,9/26/2021 0:25,0.27,low
689,9/26/2021 6:35,0.91,high
690,9/26/2021 12:41,0.4,low
691,9/26/2021 18:17,0.9,high
692,9/27/2021 0:57,0.26,low
693,9/27/2021 7:14,0.91,high
694,9/27/2021 13:12,0.43,low
695,9/27/2021 18:45,0.91,high
696,9/28/2021 1:30,0.26,low
697,9/28/2021 7:52,0.9,high
698,9/28/2021 13:42,0.45,low
699,9/28/2021 19:13,0.91,high
700,9/29/2021 2:05,0.25,low
701,9/29/2021 8:30,0.89,high
702,9/29/2021 14:12,0.47,low
703,9/29/2021 19:44,0.9,high
704,9/30/2021 2:40,0.25,low
705,9/30/2021 9:11,0.86,high
706,9/30/2021 14:45,0.49,low
707,9/30/2021 20:16,0.88,high
708,10/1/2021 3:19,0.25,low
709,10/1/2021 9:56,0.83,high
710,10/1/2021 15:22,0.52,low
711,10/1/2021 20:53,0.85,high
712,10/2/2021 4:00,0.26,low
713,10/2/2021 10:48,0.81,high
714,10/2/2021 16:08,0.53,low
715,10/2/2021 21:39,0.81,high
716,10/3/2021 5:49,0.28,low
717,10/3/2021 12:47,0.79,high
718,10/3/2021 18:08,0.54,low
719,10/3/2021 23:43,0.77,high
720,10/4/2021 6:50,0.3,low
721,10/4/2021 13:49,0.79,high
722,10/4/2021 19:25,0.52,low
723,10/5/2021 1:06,0.76,high
724,10/5/2021 8:04,0.32,low
725,10/5/2021 14:47,0.8,high
726,10/5/2021 20:47,0.46,low
727,10/6/2021 2:34,0.78,high
728,10/6/2021 9:16,0.33,low
729,10/6/2021 15:37,0.82,high
730,10/6/2021 21:54,0.38,low
731,10/7/2021 3:51,0.83,high
732,10/7/2021 10:21,0.35,low
733,10/7/2021 16:21,0.84,high
734,10/7/2021 22:50,0.31,low
735,10/8/2021 4:55,0.89,high
